                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.338,                  2.726,                 3.4726,                0.12464,                0.20961,                 0.0627,                0.02211,                 2.7668,                 4.0086,                 2.6095,             0.00066267,             0.00066267,             0.00066267
                      2,                 2.5146,                 1.9459,                 2.3518,                0.46213,                0.32072,                0.32497,                0.13537,                 2.1864,                 1.7223,                 1.8675,              0.0013162,              0.0013162,              0.0013162
                      3,                 2.2821,                 1.7354,                 2.0486,                0.46297,                 0.3554,                 0.3453,                 0.1641,                 2.0526,                 1.5766,                 1.7035,              0.0019565,              0.0019565,              0.0019565
                      4,                 2.1503,                 1.6234,                 1.8878,                0.67172,                0.43735,                0.48348,                0.24153,                 1.9035,                 1.3733,                  1.589,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0763,                 1.5265,                 1.8167,                0.73364,                0.48184,                0.54222,                0.28287,                 1.8291,                 1.3321,                 1.5205,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.9987,                 1.4568,                 1.7625,                0.66958,                0.42002,                 0.4785,                 0.2316,                 1.9605,                 1.3562,                 1.5602,               0.001901,               0.001901,               0.001901
                      7,                 1.9195,                 1.3751,                 1.6789,                0.73806,                0.47072,                0.54516,                0.26593,                 1.9569,                 1.2618,                 1.5106,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.9154,                 1.3643,                 1.6731,                0.73494,                0.49094,                0.56148,                0.29717,                 1.7473,                  1.166,                 1.4447,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.8117,                 1.2774,                   1.61,                0.74683,                0.53586,                0.59367,                 0.3302,                 1.6394,                 1.1508,                 1.3866,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.821,                 1.2748,                 1.6067,                0.74886,                0.51064,                0.59091,                0.31404,                 1.6901,                 1.1275,                 1.4323,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.7703,                 1.2377,                 1.5733,                0.76761,                0.57762,                0.64564,                0.36407,                  1.603,                 1.0366,                 1.3684,               0.001802,               0.001802,               0.001802
                     12,                 1.7566,                 1.1896,                 1.5478,                0.73626,                 0.5792,                0.62657,                0.34235,                 1.6209,                 1.0989,                  1.369,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.744,                 1.1989,                 1.5346,                0.79795,                 0.5415,                0.64881,                0.34125,                 1.7281,                 1.0611,                 1.3742,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7172,                 1.1522,                 1.5184,                0.83482,                0.59417,                0.67937,                0.38663,                 1.5498,                0.97418,                   1.33,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6738,                 1.1046,                 1.4803,                0.80104,                0.59496,                0.67751,                0.37302,                 1.5953,                 1.0752,                 1.3301,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6569,                 1.0895,                 1.4788,                0.79893,                0.60757,                 0.6795,                0.37184,                 1.5662,                0.97232,                  1.328,               0.001703,               0.001703,               0.001703
                     17,                 1.6537,                 1.0876,                 1.4737,                 0.8507,                0.61961,                0.71376,                0.40592,                  1.515,                 0.9146,                 1.2989,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6428,                 1.0724,                 1.4689,                0.80982,                0.63085,                0.69828,                0.40029,                 1.5224,                0.91352,                 1.3097,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.6277,                 1.0509,                  1.455,                0.80836,                0.62489,                0.70207,                0.39262,                 1.5497,                0.92242,                 1.3161,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.597,                 1.0369,                 1.4437,                0.84124,                0.61799,                0.70221,                0.38617,                  1.575,                0.93923,                 1.3187,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.5937,                 1.0232,                   1.44,                0.84529,                0.65012,                0.72007,                0.40952,                 1.4937,                0.91302,                 1.2964,               0.001604,               0.001604,               0.001604
                     22,                 1.5639,                 1.0083,                 1.4145,                 0.8536,                0.63868,                0.71779,                0.40033,                 1.5282,                0.87819,                 1.3062,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5705,                 0.9906,                 1.4094,                0.86935,                0.63042,                0.72257,                0.41162,                 1.4992,                 0.8722,                 1.2874,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5737,                 0.9942,                 1.4229,                 0.8812,                0.63121,                0.72992,                0.41474,                 1.5043,                0.86738,                 1.2941,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5405,                0.96794,                 1.3868,                0.87113,                0.65248,                0.73232,                0.41802,                 1.4773,                0.83716,                 1.2787,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5378,                0.97138,                 1.4039,                0.85899,                0.65485,                0.73613,                0.41973,                 1.4788,                0.84343,                 1.2795,               0.001505,               0.001505,               0.001505
                     27,                 1.5284,                0.94982,                 1.3872,                0.84131,                0.66427,                 0.7378,                0.41998,                 1.4526,                0.90595,                 1.2716,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5152,                0.94518,                 1.3674,                0.86839,                0.66031,                0.73175,                0.41462,                 1.5056,                0.83204,                 1.2884,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5138,                0.92815,                 1.3848,                0.86129,                 0.6508,                0.73641,                 0.4217,                 1.4691,                0.84888,                 1.2772,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.5125,                0.93051,                 1.3684,                0.88726,                0.64145,                0.73234,                0.40903,                 1.5294,                0.86151,                  1.299,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.488,                0.91194,                 1.3485,                0.86221,                0.67218,                0.74777,                0.41933,                 1.5071,                0.86353,                 1.2859,               0.001406,               0.001406,               0.001406
                     32,                  1.467,                0.91644,                 1.3521,                0.86986,                0.66903,                0.74887,                0.43372,                 1.4579,                0.82402,                 1.2822,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4669,                0.88703,                 1.3473,                0.88243,                 0.6643,                 0.7566,                0.44128,                 1.4418,                0.80371,                 1.2625,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4811,                 0.8931,                 1.3391,                0.86791,                 0.6911,                0.76416,                0.44003,                 1.4409,                0.80014,                 1.2673,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4611,                0.87899,                 1.3358,                0.90171,                  0.658,                 0.7561,                0.43046,                 1.4578,                0.80816,                 1.2727,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4506,                0.86709,                 1.3186,                0.88873,                0.67975,                0.77017,                0.44099,                 1.4347,                0.78657,                 1.2678,               0.001307,               0.001307,               0.001307
                     37,                 1.4313,                0.85663,                 1.3168,                0.89339,                0.65377,                0.75509,                0.43161,                 1.4671,                0.81228,                 1.2773,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4448,                0.86833,                 1.3283,                0.86261,                0.67533,                0.75688,                0.42773,                 1.4803,                0.79968,                 1.2896,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4156,                0.85424,                  1.313,                0.86304,                0.66982,                0.75969,                0.42361,                 1.5259,                0.81004,                 1.3061,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4218,                0.85219,                 1.3098,                0.88697,                0.67403,                0.76191,                0.43807,                 1.4254,                0.77816,                 1.2681,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4091,                0.83764,                 1.2975,                0.88035,                0.66351,                0.76138,                0.42152,                 1.5129,                0.81035,                 1.2948,               0.001208,               0.001208,               0.001208
                     42,                 1.3907,                0.82526,                 1.2911,                0.84786,                0.68952,                0.76754,                0.44255,                 1.4176,                0.78163,                 1.2698,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4155,                0.84508,                 1.3045,                0.86976,                0.67691,                0.75319,                0.42817,                 1.4718,                0.81652,                 1.2932,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4013,                0.83893,                 1.2961,                0.89696,                0.66824,                0.77264,                0.43505,                 1.4642,                0.79845,                 1.2753,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3862,                0.81199,                 1.2825,                0.85292,                 0.7108,                0.77483,                 0.4433,                 1.4464,                0.78439,                 1.2844,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3756,                0.80482,                 1.2774,                0.89586,                0.66667,                0.76565,                0.43697,                 1.4386,                0.77796,                 1.2715,               0.001109,               0.001109,               0.001109
                     47,                 1.3708,                0.80759,                 1.2745,                0.89309,                0.68637,                0.76863,                0.43814,                 1.4457,                0.78619,                 1.2798,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3709,                0.80244,                 1.2825,                0.87773,                0.69188,                0.77385,                0.43935,                 1.4573,                  0.772,                 1.2781,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3494,                0.78779,                 1.2626,                 0.8729,                0.69813,                 0.7812,                0.45107,                  1.435,                0.76238,                 1.2743,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3565,                 0.7932,                 1.2681,                0.87715,                0.67849,                0.76224,                0.43918,                 1.4445,                0.78576,                 1.2835,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3569,                0.78673,                 1.2602,                0.87763,                0.67455,                0.76598,                0.45001,                 1.4306,                0.79208,                 1.2777,                0.00101,                0.00101,                0.00101
                     52,                 1.3333,                0.77808,                 1.2467,                0.87619,                 0.7027,                0.77864,                0.44698,                 1.4178,                0.74579,                 1.2816,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.304,                0.75802,                 1.2394,                0.87364,                0.70686,                0.77941,                 0.4445,                 1.4105,                0.75117,                 1.2748,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3209,                0.75684,                 1.2375,                0.85813,                0.70134,                0.77715,                0.44383,                 1.4523,                0.77053,                 1.2834,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3087,                0.75604,                 1.2355,                0.87856,                0.68981,                0.77691,                0.44932,                 1.4493,                0.77064,                 1.2791,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3301,                0.76898,                 1.2449,                 0.8712,                0.70843,                0.77324,                0.43974,                 1.4364,                0.77581,                 1.2799,               0.000911,               0.000911,               0.000911
                     57,                 1.3006,                0.74733,                 1.2387,                0.83096,                0.70292,                0.76527,                0.43835,                 1.4695,                0.77151,                 1.2926,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2951,                0.74545,                 1.2222,                0.86118,                0.68929,                0.77255,                0.44268,                 1.4536,                 0.7596,                  1.292,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2887,                0.74185,                 1.2266,                0.85326,                0.69651,                0.76446,                0.44129,                 1.4381,                0.75331,                 1.2834,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2828,                0.73542,                 1.2258,                0.87556,                0.67139,                 0.7483,                0.43233,                 1.4457,                0.78352,                 1.3041,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2763,                0.73404,                 1.2175,                0.88211,                0.69425,                0.78029,                0.44055,                 1.4318,                0.76233,                 1.2812,               0.000812,               0.000812,               0.000812
                     62,                 1.2734,                0.73239,                 1.2115,                0.86434,                0.69504,                0.77901,                0.44965,                 1.4256,                0.73512,                  1.281,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2697,                0.72231,                 1.2152,                0.85607,                 0.7124,                0.77914,                0.44723,                 1.4238,                 0.7487,                 1.2813,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2603,                0.71648,                 1.1984,                0.84847,                0.72362,                0.78191,                 0.4411,                 1.4433,                0.75942,                  1.296,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2702,                0.72739,                 1.2081,                0.85427,                0.69755,                0.77691,                0.44846,                 1.4357,                 0.7484,                 1.2782,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2594,                0.71801,                 1.2075,                0.85414,                0.71985,                 0.7796,                 0.4424,                  1.435,                0.74861,                 1.2844,               0.000713,               0.000713,               0.000713
                     67,                 1.2431,                0.70881,                 1.1874,                0.84943,                0.71574,                0.77269,                0.43989,                 1.4454,                 0.7613,                 1.2874,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2284,                0.70218,                  1.186,                0.87643,                0.70426,                0.77891,                0.44385,                 1.4465,                0.74314,                 1.2974,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2284,                0.70571,                 1.1911,                0.84974,                0.70764,                0.77729,                0.44969,                 1.4257,                0.74488,                  1.288,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2359,                0.69698,                 1.1884,                0.83449,                0.70607,                0.77648,                0.44605,                 1.4364,                0.75365,                 1.2907,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2392,                0.70399,                  1.185,                0.88236,                0.70134,                 0.7768,                0.44819,                 1.4201,                0.74318,                   1.29,               0.000614,               0.000614,               0.000614
                     72,                 1.2285,                0.69676,                 1.1814,                0.85881,                0.71237,                0.77715,                 0.4538,                 1.4225,                0.73807,                 1.2906,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2112,                 0.6861,                  1.176,                0.85318,                0.71893,                 0.7897,                0.45281,                 1.4206,                0.72939,                 1.2845,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2061,                0.68274,                 1.1708,                0.85349,                0.71613,                0.77966,                0.44463,                 1.4319,                0.73975,                 1.3015,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2014,                0.67567,                 1.1651,                0.85026,                0.71946,                0.77817,                0.44989,                 1.4197,                0.74094,                 1.2873,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1848,                0.66724,                 1.1603,                0.88956,                0.70055,                 0.7789,                0.45081,                 1.4142,                0.72516,                 1.2917,               0.000515,               0.000515,               0.000515
                     77,                 1.1763,                0.66624,                 1.1649,                0.87945,                0.70607,                0.78478,                0.45296,                 1.4281,                0.73145,                 1.2969,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1789,                0.66657,                 1.1655,                0.87261,                0.71252,                0.79129,                0.45375,                 1.4162,                 0.7346,                 1.2927,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1897,                0.66753,                 1.1665,                0.86587,                0.71725,                0.78214,                0.44665,                 1.4214,                0.72837,                 1.2977,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1936,                0.67177,                 1.1655,                0.87686,                0.70528,                0.78557,                0.45099,                  1.413,                0.72321,                 1.2868,              0.0004358,              0.0004358,              0.0004358
                     81,                   1.16,                0.65865,                 1.1546,                0.85456,                0.72694,                0.78676,                0.44912,                 1.4228,                 0.7241,                 1.2965,               0.000416,               0.000416,               0.000416
                     82,                 1.1698,                0.66132,                 1.1447,                0.86012,                0.71711,                0.77597,                0.45002,                 1.4093,                0.73736,                 1.2909,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.167,                0.65427,                 1.1535,                0.86417,                0.73207,                0.79039,                  0.452,                 1.4145,                 0.7228,                 1.2897,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1523,                0.64726,                 1.1345,                 0.8556,                0.73444,                0.78824,                0.45178,                 1.4156,                0.72791,                 1.2954,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1695,                0.65342,                 1.1491,                0.86323,                0.72262,                0.78154,                0.44987,                 1.4252,                0.73741,                 1.2853,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1462,                0.64635,                 1.1377,                0.87048,                0.71552,                0.79449,                 0.4563,                 1.4107,                0.72568,                 1.2927,               0.000317,               0.000317,               0.000317
                     87,                 1.1433,                0.63673,                 1.1286,                0.84151,                 0.7234,                0.78079,                0.44887,                 1.4243,                0.72955,                 1.2983,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.135,                0.63571,                 1.1314,                0.85793,                0.73601,                0.78915,                0.45161,                 1.4257,                0.72559,                 1.3032,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1469,                 0.6456,                 1.1361,                 0.8728,                0.72262,                0.78811,                0.45114,                 1.4191,                 0.7312,                 1.2969,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1488,                0.64207,                 1.1343,                0.84251,                0.72931,                0.78744,                0.45202,                 1.4232,                0.73021,                 1.3073,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0957,                0.60022,                 1.1149,                0.84634,                0.70749,                0.77171,                0.44111,                 1.4343,                0.72814,                 1.3013,               0.000218,               0.000218,               0.000218
                     92,                 1.0628,                0.58128,                 1.0954,                0.86971,                0.69436,                  0.773,                0.44753,                 1.4208,                0.72257,                 1.2975,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0533,                0.57622,                 1.0973,                 0.8698,                0.70292,                0.77602,                0.44973,                 1.4026,                 0.7357,                 1.2881,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0508,                0.57337,                 1.0938,                0.86551,                0.71001,                0.78002,                0.45116,                 1.4081,                0.72616,                 1.2961,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0488,                0.57071,                 1.0948,                0.86752,                0.69661,                0.76976,                0.44469,                 1.4266,                  0.737,                 1.3023,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0466,                0.57298,                 1.0863,                0.87481,                0.70134,                0.77801,                0.44877,                 1.4127,                0.73238,                  1.299,               0.000119,               0.000119,               0.000119
                     97,                 1.0428,                0.56505,                 1.0896,                0.88087,                0.69925,                0.77383,                0.44733,                 1.4245,                 0.7343,                 1.3043,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0241,                0.55664,                 1.0781,                0.88219,                0.70607,                0.77851,                0.45209,                 1.4162,                0.73485,                 1.3006,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0211,                0.55354,                 1.0721,                0.88739,                0.69549,                0.77779,                0.45127,                 1.4134,                0.72873,                 1.2983,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0182,                0.55313,                 1.0743,                0.86718,                0.71003,                0.77943,                0.45173,                  1.412,                 0.7326,                 1.2974,               3.98e-05,               3.98e-05,               3.98e-05
